11-08-2022 19:46:57.049,-,AT,"End Device,0013A20041F410A6,802.15.4 TH PRO,2003,COM7 - 230400/8/N/1/N,1,45"
11-08-2022 19:47:04.754,2304,RECV,3332343538352C323531332C36382E30302C32342E30320D0A
11-08-2022 19:47:04.880,2305,RECV,3332343733362C323637342C36382E30302C32342E35380D0A
11-08-2022 19:47:05.006,2306,RECV,3332343834322C323637342C36382E30302C32342E34340D0A
11-08-2022 19:47:05.132,2307,RECV,3332343935302C323637342C36382E30302C32332E37300D0A
11-08-2022 19:47:05.194,2308,RECV,3332353035372C323637342C36382E30302C32332E34390D0A
11-08-2022 19:47:05.320,2309,RECV,3332353136342C323637342C36382E30302C32342E32340D0A
11-08-2022 19:47:05.445,2310,RECV,3332353237312C323637342C36382E30302C32342E36350D0A
11-08-2022 19:47:05.508,2311,RECV,3332353337382C323637342C36382E30302C32342E33320D0A
11-08-2022 19:47:05.634,2312,RECV,3332353438352C323637342C36382E30302C32342E36320D0A
11-08-2022 19:47:05.822,2313,RECV,3332353633362C343430302C36382E30302C32342E34370D0A
11-08-2022 19:47:05.884,2314,RECV,3332353734332C343430302C36382E30302C32342E35330D0A
11-08-2022 19:47:06.010,2315,RECV,3332353835312C343430302C36382E30302C32342E37350D0A
11-08-2022 19:47:06.136,2316,RECV,3332353935372C343430302C36382E30302C32342E38330D0A
11-08-2022 19:47:06.214,2317,RECV,3332363036352C343430302C36382E30302C32342E35390D0A
11-08-2022 19:47:06.324,2318,RECV,3332363137312C343430302C36382E30302C32342E32360D0A
11-08-2022 19:47:06.449,2319,RECV,3332363237392C343430302C36382E30302C32342E38330D0A
11-08-2022 19:47:06.575,2320,RECV,3332363432392C333332302C36382E30302C32352E31330D0A
11-08-2022 19:47:06.763,2321,RECV,3332363538312C333137392C36382E30302C32352E31330D0A
11-08-2022 19:47:06.826,2322,RECV,3332363638372C333137392C36382E30302C32352E30310D0A
11-08-2022 19:47:06.951,2323,RECV,3332363739352C333137392C36382E30302C32342E38330D0A
11-08-2022 19:47:07.077,2324,RECV,3332363930312C333137392C36382E30302C32342E38390D0A
11-08-2022 19:47:07.140,2325,RECV,3332373030392C333137392C36382E30302C32342E39360D0A
11-08-2022 19:47:07.265,2326,RECV,3332373131362C333137392C36382E30302C32342E39310D0A
11-08-2022 19:47:07.391,2327,RECV,3332373232332C333137392C36382E30302C32342E39390D0A
11-08-2022 19:47:07.517,2328,RECV,3332373333302C333137392C36382E30302C32352E31360D0A
11-08-2022 19:47:07.642,2329,RECV,3332373438312C323639362C36382E30302C32342E37360D0A
11-08-2022 19:47:07.767,2330,RECV,3332373538382C323639362C36382E30302C32342E37350D0A
11-08-2022 19:47:07.830,2331,RECV,3332373639352C323639362C36382E30302C32342E36320D0A
11-08-2022 19:47:08.019,2332,RECV,3332373834362C323639362C37302E30302C32342E37320D0A
11-08-2022 19:47:08.145,2333,RECV,3332373935332C323639362C37302E30302C32352E30310D0A
11-08-2022 19:47:08.208,2334,RECV,3332383036302C323639362C37302E30302C32342E38370D0A
11-08-2022 19:47:08.333,2335,RECV,3332383136372C323639362C37302E30302C32342E33390D0A
11-08-2022 19:47:08.459,2336,RECV,3332383237342C323639362C37302E30302C32332E39320D0A
11-08-2022 19:47:08.584,2337,RECV,3332383432352C323132322C37302E30302C32342E30340D0A
11-08-2022 19:47:08.710,2338,RECV,3332383537362C323330332C37302E30302C32352E32320D0A
11-08-2022 19:47:08.835,2339,RECV,3332383638332C323330332C37302E30302C32352E38380D0A
11-08-2022 19:47:08.961,2340,RECV,3332383739312C323330332C37302E30302C32352E39320D0A
11-08-2022 19:47:09.087,2341,RECV,3332383839372C323330332C37302E30302C32352E39310D0A
11-08-2022 19:47:09.150,2342,RECV,3332393030352C323330332C37302E30302C32352E31390D0A
11-08-2022 19:47:09.275,2343,RECV,3332393131322C323330332C37302E30302C32342E37370D0A
11-08-2022 19:47:09.400,2344,RECV,3332393231392C323330332C37302E30302C32322E37370D0A
11-08-2022 19:47:09.526,2345,RECV,3332393336392C323138352C37302E30302C32332E33370D0A
11-08-2022 19:47:09.714,2346,RECV,3332393532312C323331322C37302E30302C32322E36350D0A
11-08-2022 19:47:09.840,2347,RECV,3332393637312C323539352C37302E30302C32332E34370D0A
11-08-2022 19:47:09.965,2348,RECV,3332393737392C323539352C37302E30302C32332E32390D0A
11-08-2022 19:47:10.028,2349,RECV,3332393838352C323539352C37302E30302C32322E37320D0A
11-08-2022 19:47:10.154,2350,RECV,3332393939332C323539352C37302E30302C32322E34390D0A
11-08-2022 19:47:10.279,2351,RECV,3333303039392C323539352C37302E30302C32332E36320D0A
11-08-2022 19:47:10.405,2352,RECV,3333303230372C323539352C37302E30302C32332E35390D0A
11-08-2022 19:47:10.468,2353,RECV,3333303331342C323539352C37302E30302C32332E38350D0A
11-08-2022 19:47:10.593,2354,RECV,3333303432312C323539352C37302E30302C32332E35300D0A
11-08-2022 19:47:10.781,2355,RECV,3333303537312C323430302C37302E30302C32342E36330D0A
11-08-2022 19:47:10.844,2356,RECV,3333303637392C323430302C37302E30302C32332E35390D0A
11-08-2022 19:47:10.969,2357,RECV,3333303738362C323430302C37302E30302C32332E37350D0A
11-08-2022 19:47:11.095,2358,RECV,3333303839332C323430302C37302E30302C32342E30390D0A
11-08-2022 19:47:11.158,2359,RECV,3333313030302C323430302C37302E30302C32342E30330D0A
11-08-2022 19:47:11.283,2360,RECV,3333313130382C323430302C37302E30302C32332E37300D0A
11-08-2022 19:47:11.409,2361,RECV,3333313231342C323430302C37302E30302C32332E33330D0A
11-08-2022 19:47:11.534,2362,RECV,3333313336352C323239302C37302E30302C32332E37310D0A
11-08-2022 19:47:11.660,2363,RECV,3333313437322C323239302C37302E30302C32332E33360D0A
11-08-2022 19:47:11.785,2364,RECV,3333313538302C323239302C37302E30302C32332E34370D0A
11-08-2022 19:47:11.848,2365,RECV,3333313638362C323239302C37302E30302C32332E36390D0A
11-08-2022 19:47:12.037,2366,RECV,3333313833372C323239302C37302E30302C32342E30390D0A
11-08-2022 19:47:12.100,2367,RECV,3333313934342C323239302C37302E30302C32342E31310D0A
11-08-2022 19:47:12.225,2368,RECV,3333323035322C323239302C37302E30302C32342E30310D0A
11-08-2022 19:47:12.351,2369,RECV,3333323135382C323239302C37302E30302C32332E38330D0A
11-08-2022 19:47:12.476,2370,RECV,3333323236362C323239302C37302E30302C32332E36390D0A
11-08-2022 19:47:12.601,2371,RECV,3333323431372C323937392C37302E30302C32332E34350D0A
11-08-2022 19:47:12.727,2372,RECV,3333323532342C323937392C37302E30302C32332E34360D0A
11-08-2022 19:47:12.790,2373,RECV,3333323633312C323937392C37302E30302C32332E34380D0A
11-08-2022 19:47:12.916,2374,RECV,3333323733382C323937392C37302E30302C32342E35340D0A
11-08-2022 19:47:13.041,2375,RECV,3333323834362C323937392C37302E30302C32342E34380D0A
11-08-2022 19:47:13.166,2376,RECV,3333323935322C323937392C37302E30302C32342E33340D0A
11-08-2022 19:47:13.229,2377,RECV,3333333036302C323937392C37302E30302C32342E31350D0A
11-08-2022 19:47:13.418,2378,RECV,3333333231302C323131382C37302E30302C32332E37370D0A
11-08-2022 19:47:13.480,2379,RECV,3333333331382C323131382C37302E30302C32332E35340D0A
11-08-2022 19:47:13.606,2380,RECV,3333333432342C323131382C37302E30302C32342E30370D0A
11-08-2022 19:47:13.731,2381,RECV,3333333533322C323131382C37302E30302C32342E38380D0A
11-08-2022 19:47:13.794,2382,RECV,3333333633392C323131382C37302E30302C32352E39300D0A
11-08-2022 19:47:13.920,2383,RECV,3333333734362C323131382C37302E30302C32352E37320D0A
11-08-2022 19:47:14.045,2384,RECV,3333333835332C323131382C37302E30302C32352E38390D0A
11-08-2022 19:47:14.171,2385,RECV,3333333936302C323131382C37302E30302C32352E39370D0A
11-08-2022 19:47:14.296,2386,RECV,3333343131312C323338332C37302E30302C32352E38310D0A
11-08-2022 19:47:14.422,2387,RECV,3333343231382C323338332C37302E30302C32352E34380D0A
11-08-2022 19:47:14.485,2388,RECV,3333343332352C323338332C37302E30302C32352E33350D0A
11-08-2022 19:47:14.610,2389,RECV,3333343433322C323338332C37302E30302C32372E33340D0A
11-08-2022 19:47:14.736,2390,RECV,3333343533392C323338332C37302E30302C32372E38340D0A
11-08-2022 19:47:14.862,2391,RECV,3333343634372C323338332C37302E30302C32382E30320D0A
11-08-2022 19:47:14.925,2392,RECV,3333343735332C323338332C37302E30302C32382E31360D0A
11-08-2022 19:47:15.114,2393,RECV,3333343930352C323236372C37302E30302C32362E38390D0A
11-08-2022 19:47:15.239,2394,RECV,3333353035352C323131342C37302E30302C32352E37300D0A
11-08-2022 19:47:15.365,2395,RECV,3333353136322C323131342C37302E30302C32362E34330D0A
11-08-2022 19:47:15.428,2396,RECV,3333353236392C323131342C37302E30302C32362E32320D0A
11-08-2022 19:47:15.553,2397,RECV,3333353337372C323131342C37302E30302C32362E39360D0A
11-08-2022 19:47:15.679,2398,RECV,3333353438332C323131342C37302E30302C32362E36310D0A
11-08-2022 19:47:15.804,2399,RECV,3333353539312C323131342C37302E30302C32352E39330D0A
11-08-2022 19:47:15.883,2400,RECV,3333353639382C323131342C37302E30302C32362E38370D0A
11-08-2022 19:47:16.055,2401,RECV,3333353834392C323131342C37312E30302C32362E33330D0A
11-08-2022 19:47:16.180,2402,RECV,3333363030302C323135322C37312E30302C32362E35360D0A
11-08-2022 19:47:16.306,2403,RECV,3333363135302C323837302C37312E30302C32362E34360D0A
11-08-2022 19:47:16.494,2404,RECV,3333363330322C323735342C37312E30302C32362E37320D0A
